Korean	Definition	English	Context	Hashtags
가랑이가 찢어지다	1. 몹시 가난하여 살림살이가 궁색하다 2. 자신이 해내기에 벅찬 일을 욕심내서 하다가 손해를 보다			#관용구 #비유
가려운 데를 긁어주다	꼭 필요한 것을 알아서 욕구를 만족시켜 주다.	to scratch an itch		#관용구 #비유 #느낌
가마를 태우다	그럴듯하게 추어올려 얼렁뚱땅 넘어가거나 속여 넘기다			#관용구 #비유
가방끈이 짧다	많이 배우지 못해 학력이 낮다.	to be a (high school) dropout		#관용구 #비유
가슴에 못을 박다	마음에 상처를 주다.	to break sb's heart		#관용구 #비유 #느낌
가슴에 새기다	단단히 기억하여 두다.			#관용구 #비유
가슴에 손을 얹다	양심에 근거를 두다.			#관용구 #비유
(가슴에) 칼을 품다	상대편에게 모진 마음을 먹거나 흉악한 생각을 하다.	to hold / to have a grudge against sb		#관용구 #비유
가슴을 쓸어내리다	곤란한 일이나 걱정 따위가 해결되어 마음을 놓다.			#관용구
가슴을 쥐어뜯다	처절할 만큼 안타까워하다.			#관용구
가슴이 내려앉다	커다란 충격으로 놀라거나 맥이 탁 풀리다.	sb's heart sinks		#관용구 #느낌 #상태
가슴이 뜨끔하다	자극을 받아 마음이 깜짝 놀라거나 양심의 가책을 받다.	to prick sb's conscience		#관용구 #느낌 #상태
가슴이[가슴에] 찔리다	심한 양심의 가책을 받다.	to prick sb's conscience		#관용구 #느낌 #상태
가슴이 콩알만 하다[해지다]	불안하고 초조하여 마음을 펴지 못하고 있다.			#관용구 #느낌
가시(가) 돋치다	불만이나 악의가 있다.			#관용구 #비유
가시방석에 앉다	불안하거나 초초한 느낌이 들다.			#관용구 #비유
가시밭길을 가다	힘겹고 험한 삶을 살다.			#관용구 #비유
간(이) 떨어지다	순간적으로 몹시 놀라다.			#관용구 #비유 #느낌
간(이) 크다	겁이 없고 매우 대담하다.			#관용구 #비유
간(이) 붓다	지나치게 대담해지다.			#관용구 #비유
간담이 서늘하다	무섭거나 위협적인 일로 인해 놀라다.			#관용구
간도 쓸개도 없다	자존심이 없을 정도로 비굴하다.			#관용구 #비유
간발의 차이	서로 엇비슷할 정도의 아주 작은 차이.	a close call		#관용구
간에 기별도 안 가다	먹은 것이 양에 차지 않다.			#관용구 #느낌
갈 길이 멀다	앞으로 살아갈 일이나 해야 할 일이 많이 남아 있다.	to have miles to go to have a long way to go		#관용구
갈 데까지 가다	도달할 수 있는 가장 극단의 상태나 상황이 되다.			#관용구
감투를 씌우다	벼슬자리나 높은 지위에 오르게 만듦을 속되게 이르는 말.			#관용구 #비유
강 건너 불구경	자기에게 관계없는 일이라고 하여 무관심하게 방관하는 모양.	to sit on sb's hands		#관용구 #비유
개뿔도 없다	속된 말로 사람이 돈이나 능력이 전혀 없거나 미미하다.			#관용구
개판 오 분 전	상태, 행동 따위가 사리에 어긋나 온당치 못하거나 무질서하고 난잡한 상황을 속되게 이르는 말.	a complete mess		#관용구 #비유
거짓말을 밥 먹듯 하다	거짓말을 자주 하다.			#관용구 #비유
걱정도 팔자다	하지 않아도 될 걱정을 자꾸 하거나 남의 일에 참견하는 사람에게 놀림조로 이르는 말.			#관용구
걱정이 태산이다	해결해야 할 일이 너무 많거나 복잡해서 걱정이 크다.			#관용구
걸신(이) 들린 듯이	음식을 지나치게 탐내는 모양을 비유적으로 이르는 말.			#관용구 #비유
걸음마를 떼다	어떤 일이나 사업을 처음 시작함을 이르는 말.			#관용구 #비유
경종을 울리다	잘못이나 위험을 미리 경계하여 주의를 환기시키다.	to be a wake-up call		#관용구 #비유
고삐 풀린 말[망아지]	1. 거칠게 행동하는 사람을 이르는 말. 2. 구속이나 통제에서 벗어나 몸이 자유로움을 이르는 말.	1. a bull in a china shop		#관용구 #비유
고혈을 짜내다	가혹하게 착취하거나 징수하다.			#관용구 #비유
골로 보내다	‘죽이다’를 속되게 이르는 말.			#관용구 #비유
골머리(를) 앓다	어떻게 하여야 할지 몰라서 머리가 아플 정도로 생각에 몰두하다.	to rack sb's brain to bother one's head about		#관용구 #느낌
골이 깊어지다	관계가 악화되거나 멀어지다.			#관용구 #느낌
과거가 있다	어둡거나 복잡한 과거의 경험을 가지고 있다.			#관용구
구경도 못 하다	눈으로 보지도 못하다.			#관용구
국물도 없다	돌아오는 몫이나 이득이 아무것도 없다.			#관용구 #비유
군침(을) 삼키다[흘리다]	이익, 재물을 보고 몹시 탐을 내다.			#관용구 #상태
귀(가) 밝다	소식이나 정보 따위에 빠르고 능통하다.			#관용구
귀청(이) 떨어지다	소리가 몹시 크다.			#관용구 #느낌
귓등으로도 안 듣는다	어떤 말을 마음에 새겨듣지 아니하고 들은 체 만 체 하다.			#관용구
근처에도 못 가다	견주어 볼 정도도 못 되다.			#관용구
급한 불을 끄다	우선 절박한 문제를 처리하여 해결하다.			#관용구 #비유
긴말할 것 없다	이러쿵저러쿵 길게 여러 말을 늘어놓을 필요가 없다.			#관용구
꼬리(가) 길다	못된 짓을 오래 두고 계속하다.			#관용구 #비유
꼬리(를) 치다	속된 말로 이성에게 잘 보이려고 아양 떨다.	to flirt with sb		#관용구 #비유
꿀(이) 떨어지다	바라보는 눈빛이 다정하고 사랑스럽다.			#관용구 #비유
꿈(을) 깨다	희망을 낮추거나 버리다.	to dream on to burst sb's bubble		#관용구
나 몰라라 하다	어떤 일에 무관심한 태도로 상관하지도 아니하고 간섭하지도 아니하다.			#관용구
낯을 못 들다	창피하여 남을 떳떳이 대하지 못하다.	can't look sb in the eye		#관용구
놀고 있다	비꼬아 이르는 말로 사람이 남의 마음에 들지 않게 행동하다.			#관용구
누구 할 것 없이	누구라고 가려 말할 것 없이 모두 다.			#관용구
눈(을) 속이다	잠시 수단을 써서 보는 사람이 속아 넘어가게 하다.	to pull the wool over sb's eyes to throw dust in sb's eyes		#관용구
눈독(을) 들이다	욕심을 내어 눈여겨보다.	to have sb's eye on		#관용구
눈뜨고 볼 수 없다 / 눈뜨고는 못 봐주다	참혹함이나 꼴불견의 정도가 매우 심해 차마 볼 수가 없다.			#관용구 #느낌
눈물이 앞을 가리다	눈물이 자꾸 나옴을 비유적으로 이르는 말.			#관용구 #슬픔 #느낌
눈 밖에 나다	신임을 잃고 미움을 받게 되다.			#관용구 #느낌
눈앞에 보이는 것이 없다	사리 분별을 못하다.			#관용구 #느낌
눈앞이 캄캄하다	절망적인 생각이 들어 어찌할 바를 모르다.			#관용구 #느낌
눈에 거슬리다	보기에 마뜩하지 않아 불쾌한 느낌이 있다.			#관용구 #느낌
눈에 넣어도 아프지 않다	매우 귀엽거나 사랑스럽다.			#관용구 #비유
눈을 의심하다	잘못 보지 않았나 하여 믿지 않고 이상하게 생각하다.			#관용구 #상태
눈이 많다	보는 사람이 많다.			#관용구
눈이 낮다	보는 수준이 높지 아니하다.			#관용구 #비유
눈이 높다	안목이 높다.			#관용구 #비유
눈이 뚫어지게	꼼짝 않고 한 곳을 응시하는 모양을 이르는 말.			#관용구 #비유
눈 하나 깜짝 안 하다	태도나 기색이 아무렇지도 않은 듯이 예사롭게 굴다.			#관용구 #느낌
다름 아닌	다른 것이 아니라 바로.			#관용구
닥치는 대로	이것저것 가릴 것 없이 눈에 보이는 대로.			#관용구
담(을) 쌓다	관심이 없어 전혀 관계하지 않다.			#관용구 #상태 #비유
더위(를) 먹다	여름철에 더위 때문에 몸에 이상 증세가 생기다.			#관용구 #상태 #비유
덜미(를) 잡히다	못된 일 따위를 꾸미다가 발각되다.			#관용구 #비유
독 안에 든 쥐	궁지에서 벗어날 수 없는 처지를 비유적으로 이르는 말.			#관용구 #비유
돈방석에 앉다	매우 많은 돈을 갖게 되다.	to be sitting on a gold mine to be rolling in dough		#관용구 #비유
돈벼락(을) 맞다	갑자기 한꺼번에 많은 돈이 생기다.			#관용구 #비유
돈을 먹다	속된 말로 어떤 사람이 다른 사람의 뇌물을 받다.			#관용구 #비유
뒤(가) 구리다	숨겨 둔 약점이나 잘못이 있다.			#관용구
뒤를 캐다	배후나 약점을 알아내다.			#관용구
뒤통수(를) 맞다	배신이나 배반을 당하다.			#관용구 #비유
등(을) 돌리다	뜻을 같이하던 사람이나 단체와 관계를 끊고 배척하다.			#관용구
등에 업다	대상이 세력이나 힘을 배후에 두다.			#관용구 #비유
딱 잘라	아주 단호하게.			#관용구
땅(이) 꺼지게〔꺼지도록〕	한숨을 쉴 때 몹시 깊고도 크게.			#관용구 #비유
땅바닥에 떨어지다	가치나 신용 등이 매우 낮아지다.			#관용구 #비유
똥 밟다	운이 나쁘게도 좋지 않은 일을 겪다.			#관용구 #비유
뚜껑 열리다	속된 말로 사람이 몹시 화가 나다.	to blow sb's top to hit the ceiling / roof to lose sb's temper to fly off the handle		#관용구 #비유 #감정
뜨거운 맛을 보다	호된 고통이나 어려움을 겪다.	to burn sb's fingers to get sb's fingers burned		#관용구 #비유
뜬구름 잡다	막연하거나 허황된 것을 좇다.	to have sb's head in the clouds		#관용구 #비유
뜸 들이다	일이나 말을 할 때에, 쉬거나 여유를 갖기 위해 서둘지 않고 한동안 가만히 있는 경우를 비유적으로 이르는 말.			#관용구
마음이 콩밭에 가다	생각이나 관심이 다른 곳으로 향하다.			#관용구 #비유
마음이 굴뚝 같다	무엇을 간절히 하고 싶거나 원하다.			#관용구 #비유
막다른 골목	더이상 어찌할 수 없는 절박한 지경을 이르는 말.	a dead end a blind alley		#관용구 #비유
말이 아니다	몹시 어렵거나 딱하다.			#관용구
말도 안 되다	실현 가능성이 없거나 이치에 맞지 않다.			#관용구
맞아도 싸다		sb deserves it serves sb right		
머리 꼭대기에 앉아 있다	생각이나 행동을 꿰뚫어 그를 얕잡아 보거나 가벼이 여기다.			#관용구 #비유
머리가 돌아가다	생각이 잘 떠오르다.			#관용구 #비유
머리 굴리다	머리를 써서 해결 방안을 생각해 내다.	to rack sb's brain		#관용구 #비유
머리(를) 맞대다	어떤 일을 의논하거나 결정하기 위하여 서로 마주 대하다.	to put sb's heads together		#관용구 #비유
머리(를) 식히다	흥분되거나 긴장된 마음을 가라앉히다.	to cool down		#관용구 #비유
머리에 피도 안 마르다	속된 말로 사람이 아직 까마득히 어리다.	to be wet behind the ears		#관용구 #비유
면목(이) 없다	부끄러워 남을 대할 용기가 나지 않다.	to lose sb's face		#관용구 #느낌
모가지가 날아가다	속된 말로 사람이 직장이나 직책 따위에서 쫓겨나다.	to get the sack to make heads roll		#관용구 #비유
목 놓아	주로 울거나 부르짖을 때에 참거나 삼가지 않고 소리를 크게 내어.			#관용구 #슬픔 #느낌
목에 힘을 주다	거드름을 피우거나 남을 깔보는 듯한 태도를 취하다.			#관용구 #느낌
목을 매다	전적으로 의존하다.	to be hung up on 		#관용구 #비유
목을 풀다	창, 노래, 연설 따위를 하기에 앞서 목소리를 가다듬다.			#관용구 #느낌
무덤을 파다	파멸을 자초하다.	to dig sb's own grave		#관용구 #비유
물 흐리다	전체에 좋지 못한 영향을 끼치거나 분위기를 망치다.			#관용구 #비유
물고 늘어지다	꼬투리나 말끝을 잡아 자꾸 캐어묻거나 덤비다.	to pounce on		#관용구 #비유
물과 기름이다	기름이 물 위로 뜨듯이 한데 어울리지 못하여 겉도는 상태이다.	to be like oil and water		#관용구 #비유
물불을 가리지 않다	위험이나 곤란을 고려하지 않고 막무가내로 행동하다.	to stop at nothing		#관용구 #비유
미운털이 박히다	밉보여서 괴롭힘을 당하다.	to be in sb's bad books		#관용구 #비유
밑도 끝도 없다	앞뒤의 연관 관계가 없어 갈피를 잡을 수가 없다.	out of the blue out of nowhere		#관용구
바가지(를) 쓰다	요금이나 물건값을 실제 가격보다 비싸게 지불하여 억울한 손해를 보다.	to pay over the odds to pay through the nose		#관용구
바닥이 나다	물건이나 돈이 다 써서 없어지다.	to run out of		#관용구
발목(을) 잡다〔붙잡다〕	어떤 일에 꽉 잡혀서 벗어나지 못하게 하다.			#관용구 #비유
밤낮을 가리지 않다	쉬지 않고 계속하다.	day and night		#관용구
밥 먹듯 하다	예사로 자주 하다.			#관용구 #비유
별 볼 일 없다	중요하지 않다.			#관용구
병나발(을) 불다	나발을 불듯이 병을 거꾸로 입에 대고 병 속에 든 액체를 들이켜다.			#관용구 #비유
보는 눈이 있다	사람이나 일 따위를 평가하는 능력이 있다.			#관용구
불 보듯 뻔하다	앞으로 일어날 일이 의심할 여지가 없이 아주 명백하다			#관용구
사서 고생(을) 하다	고생하지 아니하여도 될 일을 제 스스로 만들어 고생하다.			#관용구
사족을 못 쓰다	무슨 일에 반하거나 혹하여 꼼짝 못 하다.			#관용구 #비유
선수(를) 치다	남보다 먼저 착수하다.			#관용구 #비유
선심 쓰다	남에게 착한 마음을 베풀다.			#관용구
선을 긋다	한계나 허용 범위를 정하다.			#관용구 #비유
소설(을) 쓰다	지어내어 말하거나 거짓말을 하다.			#관용구 #비유
속(이) 시원하다	좋은 일이 생기거나 나쁜 일이 없어져서 마음이 상쾌하다.			#관용구 #비유 #느낌
속(이) 타다	걱정이 되어 마음이 달다.			#관용구 #비유 #느낌
속(이) 터지다	몹시 분하거나 답답하다.			#관용구 #비유 #느낌
속에 없는 말[소리]	속마음과 다르게 하는 말.			#관용구
손(이) 맵다	손으로 슬쩍 때려도 몹시 아프다.			#관용구 #비유
손(을) 뻗치다	적극적인 도움, 요구, 침략, 간섭 따위의 행위가 멀리까지 미치게 하다.			#관용구 #비유
손 씻다〔털다〕	부정적인 일이나 찜찜한 일에 대하여 관계를 청산하다.	to wash sb's hands of 		#관용구 #비유
손(이) 크다	씀씀이가 후하고 크다.	to be free-handed to be open-handed		#관용구 #비유
손가락 안에 들다	어떤 단체나 무리 중에서 몇 되지 아니하게 특별하다.			#관용구
손가락 하나 까딱 않다	아무 일도 안 하고 뻔뻔하게 놀고만 있음을 비난조로 이르는 말.	 		#관용구
손끝 하나 못 대다	어떤 대상이나 일에 대하여 전혀 관여할 수 없다.			#관용구
손바닥 뒤집듯	갑자기 태도를 바꾸거나 노골적으로 바꾸는 것을 아주 쉽게.			#관용구
손발이 맞다	함께 일을 하는 데에 마음이나 의견, 행동 방식 따위가 서로 맞다.			#관용구
손안에 넣다	완전히 자기 소유로 만들거나 자기 통제 아래에 두다.			#관용구
손에 넘어가다	무엇이 사람의 소유가 되다.			#관용구
손에 땀을 쥐다	아슬아슬하여 마음이 조마조마하도록 몹시 애가 달다.			#관용구 #감정 #느낌
손에 잡히다	사람이 차분해져 마음이 내키고 능률이 나다.			#관용구 #느낌
손을 보다	1. 사람이 물건을 문제가 생겨서 고치다. 2. 어떤 사람이 다른 사람을 혼내 주다.			#관용구
손이 발이 되도록〔되게〕 빌다	허물이나 잘못을 용서하여 달라고 몹시 애원하다.			#관용구 #비유
숨도 제대로 못 쉬다	생각, 감정, 기세 따위를 자유롭게 표현하거나 주장하지 못하다.			#관용구 #비유
숨이 턱에 닿다 [턱까지 차오르다]	숨이 매우 가쁘게 되다.	to be out of breath		#관용구
시도 때도 없다	시간에 구애받지 않고 자주.			#관용구
시치미(를) 떼다	매를 훔친 사람이 시치미를 떼어 내고 자기 매인 것처럼 행세한다는 뜻으로, 자기가 하고도 짐짓 하지 않은 체하거나 알고도 모르는 체하다.			#관용구 #비유
식은 죽 먹기	거리낌 없이 아주 쉽게 예사로 하는 모양.	a piece of cake		#관용구 #비유
쐐기를 박다	다시는 그러한 일이 없도록 다짐을 두다.			#관용구 #비유
안개에 싸이다	어떤 사실이나 비밀이 밝혀지지 않다.			#관용구 #비유
양다리(를) 걸치다	양쪽에서 이익을 보려고 두 편에 모두 관계를 가지다.	to have it both ways to two-time to double-cross		#관용구
어깨가 무겁다	무거운 책임을 맡아 마음의 부담이 크다.	to carry the weight on sb's shoulders		#관용구 #비유 #느낌
엎지른〔엎질러진〕 물	다시 바로잡거나 되돌릴 수 없는 일을 비유적으로 이르는 말.	to cry over split milk there's no going back		#관용구 #비유
염장 지르다	가만히 있는 속을 들쑤시어 괴롭고 힘들게 하다.	to rub it in		#관용구
오지랖이 넓다	쓸데없이 지나치게 아무 일에나 참견하는 면이 있다.	to be nosy		#관용구 #비유
온실 속에서 자란 화초	어려움이나 고난을 겪지 아니하고 그저 곱게만 자란 사람을 비유적으로 이르는 말.	to live a sheltered life		#관용구 #비유
입(을) 맞추다	서로의 말이 일치하도록 하다.			#관용구 #비유
입만 살다	실천은 하지 않고 말만 그럴듯하게 잘한다.	all bark and no bite		#관용구 #비유
입만 아프다	여러 번 말하여도 받아들이지 아니하여 말한 보람이 없다.	to waste sb's breath		#관용구 #비유
잔뼈가 굵다	오랜 기간 일정한 곳이나 직장에서 일을 하여 그 일에 익숙하다.	to be an old hand at		#관용구 #비유
종지부를 찍다	끝장을 내다.	to put an end to to put a period to		#관용구 #비유
주사위를 던지다	결정을 내리다.	the die is cast		#관용구 #비유
줄 타다	힘이 될 만한 사람과 관계를 맺어 그 힘을 이용하다.	to walk a tightrope		#관용구 #비유
쥐도 새도 모르게	감쪽같이 행동하거나 처리하여 아무도 그 경위나 행방을 모르게.	without a trace		#관용구 #비유
찬물을 끼얹다	공연히 트집을 잡아 헤살을 놓거나 좋은 분위기를 망치다.	to kill (sb's) vibe a buzzkill 		#관용구 #비유
철벽 치다	상대방이 드러내는 관심이나 애정을 거부하고 더 이상 다가오지 못하도록 막다.	to curve sb		#관용구 #비유
코를 납작하게 만들다	기를 죽이다.	to take sb down a peg or two		#관용구 #비유
피도 눈물도 없다	인정머리가 조금도 없다.	cold-blooded		#관용구 #비유
필름(이) 끊기다	술에 취해서 기억이 안 나다.	to black out		#관용구 #비유
하늘의 별 따기	매우 어렵거나 거의 불가능한 것을 이르는 말.	to ask for the moon		#관용구 #비유
하루가 멀다 하고	거의 매일같이 자주.	every other day almost everyday		#관용구
한 귀로 흘리다	듣고도 마음에 두지 아니하고 무시하다.	to go in one ear and out the other		#관용구
한 배를 타다	운명을 같이하다.	be in the same boat		#관용구 #비유
